Size,Time
0,0.000000000
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
10,0.000000000
15,0.000000000
20,0.000000000
25,0.000000000
30,0.000000000
35,0.000000000
40,0.000000000
45,0.000000000
50,0.000000000
100,0.000000000
150,0.000000000
200,0.000000000
250,0.000000000
300,0.000000000
350,0.000000000
400,0.000000000
450,0.000000000
500,0.000000000
1000,0.000000000
1500,0.000000000
2000,0.000000000
2500,0.000000000
3000,0.000000000
3500,216.000000000
4000,212.000000000
4500,320.000000000
5000,328.000000000
10000,664.000000000
15000,1004.000000000
20000,1472.000000000
25000,1804.000000000
30000,2004.000000000
35000,2592.000000000
40000,2904.000000000
45000,3224.000000000
50000,3536.000000000
100000,7248.000000000
150000,11364.000000000
200000,14408.000000000
250000,17584.000000000
300000,22788.000000000
350000,25928.000000000
400000,28992.000000000
450000,32108.000000000
500000,35240.000000000
1000000,70656.000000000
